"","codeSPAM","ME_sd","ME_min","ME_max","ME","CP","NDF","IVDMD","n"
"1","bana","0.454051377375972",5.9,8.2,7.1,"5.17714285714286","45.9171428571429","51.0585714285714","7"
"2","barl","0.926582904646184",5.7570098935523,10.3045543978305,7.22105845944567,"4.15828326180258","75.9077542372881","46.2226050420168","238"
"3","bean","0.639198514098",7.03312065360322,9.78759055359445,8.68895694299869,"6.647265625","68.0987596899225","56.1240310077519","129"
"4","sugb","1.39574157623785",7.0032654541633,13.3733759526363,9.91733521188451,"19.8208219178082","39.0591780821918","67.8575342465753","73"
"5","chic","0.585227041346956",6.77270838071891,10.7625834202628,8.23343506932119,"4.65547220361688","57.543683858004","51.6483791024782","1493"
"6","cowp","0.540684274736152",8.63770925820334,10.2980909305212,9.53046690875686,"14.579375","56.156875","66.295625","16"
"7","cultFodd","1.12967480114846",5.38317311642249,12.386217400095,8.40495374423661,"10.511936997319","68.6527833668679","60.5176340482574","1492"
"8","lent","0.511624420431874",6.96842505343396,10.3025316416026,8.81822815871044,"9.17482972136223","51.6921174652241","56.1646676970634","647"
"9","maiz","1.11795560022874",7.15596233952359,12.5199959346187,8.95969364551053,"2.9898","80.6437","57.0228","200"
"10","natPast","0.982404277047855",6.3,9.7,7.9,"8.52795061728395","66.3530446549391","60.1498051282051","975"
"11","ocer","0.618674075717256",5.82804523476545,10.2528834302699,7.31349406979746,"5.27509933774834","79.1618032786885","47.5291262135922","618"
"12","pige","0.418138221266249",7.57927340167502,9.08480521348092,8.1666035029384,"16.1671428571429","53.3424137931034","53.4620689655172","29"
"13","plnt","0.454051377375972",7.7,9.1,8.5,"5.17714285714286","45.9171428571429","51.0585714285714","7"
"14","smil","0.640065118842367",6.8188381701698,8.8942927497398,8.13618263519458,"3.96117647058824","71.0952941176471","53.7405882352941","17"
"15","sorg","0.845613251380199",6.03961134592896,11.0567833089624,8.78000404122721,"6.45332682926829","60.6674099099099","60.5133464566929","1270"
"16","soyb","0.469040028101026",6.97556632366689,8.953474171503,7.88026433554609,"5.77861111111111","75.405","49.7343055555556","72"
"17","sugc",NA,8.01306426654212,8.01306426654212,8.01306426654212,"4.56","71.45","52.87","1"
"18","swpo","2.25011014505242",9.502363030589,12.6844993145554,11.0934311725722,"15.95","42.42","84.39","2"
"19","whea","1.23812761481005",5.68704951752767,11.0244784464464,7.25947528453191,"4.32737980769231","72.0862290862291","48.6580279898219","786"
"20","cass",NA,4.18,4.18,4.18,NA,"cass",NA,"4.18"
"21","ocer","0.79",6.19,7.77,6.98,"2041","ocer","0.79","6.19"
"22","opul","0.744920997797318",5.93,10.3,7.86740880503145,"opul","0.744920997797318","5.93","10.3"
"23","orts","2.27688383542068",9.04,12.26,10.65,"orts","2.27688383542068","9.04","12.26"
"24","sesa","0.47",7.66,8.13,8.05,"sesa","0.47","7.66","8.13"
"25","yams","2.27688383542068",9.04,12.26,10.65,"yams","2.27688383542068","9.04","12.26"
