Variable,Season,Region,Bull,Steer,Calf,Heifer,Cow,Lamb,Sheep,Kid,Goat,Horse,Donkey,Camel,Source,
HS,,Lowland,0.11,0,0.07,0.24,0.58,0.33,0.67,0.33,0.67,,,,"A., Yetera, M. Urge, & A. Nurfeta, 2018",
HS,,Highland,0.22,0,0.07,0.19,0.52,0.33,0.67,0.33,0.67,,,,"A., Yetera, M. Urge, & A. Nurfeta, 2018",
HS,,Periurban,0.11,0,0.07,0.19,0.63,0.33,0.67,0.33,0.67,,,,Assumed the same as the highlands except no bulls,
K,,,1.3,1.3,1.3,1.3,1.3,1,1,1,1,,,,"Rahimi et al., 2021",
S,,,1.15,1.15,1.08,1,1,1.08,1,1.08,1,,,,"Rahimi et al., 2021",
M,,,1,1,1.08,1,1,1.05,1,1.05,1,,,,"Rahimi et al., 2021",
Age,,,3.5,2.5,0.5,2.5,3.5,0.5,1.5,0.5,1.5,,,,"Rahimi et al., 2021",
MLW,WS,Lowland,397.49804,270.405,67.897116,218.2545,342.672,14,35,9,30,,,,Wilkes et al. Table A6.3 Margins of error,
MLW,WS,Highland,400.15044,271.1455,73.65758,215.61204,331.98528,12,29,9,28,,,,Wilkes et al. Table A6.3 Margins of error,
MLW,WS,Periurban,540.3672,311.895,82.146,310.2246,553.40832,12,29,9,28,,,,Wilkes et al. Table A6.3 Margins of error,
MLW,DS,Lowland,397.49804,270.405,67.897116,218.2545,342.672,14,35,9,28,,,,Wilkes et al. Table A6.3 Margins of error,
MLW,DS,Highland,400.15044,271.1455,73.65758,215.61204,331.98528,12,29,9,28,,,,Wilkes et al. Table A6.3 Margins of error,
MLW,DS,Periurban,540.3672,311.895,82.146,310.2246,553.40832,12,29,9,28,,,,Wilkes et al. Table A6.3 Margins of error,
DWG,WS,Lowland,0,0.2235348,0.4644708,0.16524,0,0.04,0,0.019,0,,,,Wilkes et al. Table A6.3 Margins of error,
DWG,WS,Highland,1.33,0.24139,0.4956142,0.1771014,0,0.04,0,0.019,0,,,,"Wilkes et al. Table A6.3 Margins of error; Bulls from multiple published sources from Oromia, Amhara and SNNPR",
DWG,WS,Periurban,1.33,0.30353,0.465494,0.3126018,0,0.04,0,0.019,0,,,,"Wilkes et al. Table A6.3 Margins of error; Bulls from multiple published sources from Oromia, Amhara and SNNPR",
DWG,DS,Lowland,0,0.2235348,0.4644708,0.16524,0,0.04,0,0.019,0,,,,Wilkes et al. Table A6.3 Margins of error,
DWG,DS,Highland,1.33,0.24139,0.4956142,0.1771014,0,0.04,0,0.019,0,,,,"Wilkes et al. Table A6.3 Margins of error; Bulls from multiple published sources from Oromia, Amhara and SNNPR",
DWG,DS,Periurban,1.33,0.30353,0.465494,0.3126018,0,0.04,0,0.019,0,,,,"Wilkes et al. Table A6.3 Margins of error; Bulls from multiple published sources from Oromia, Amhara and SNNPR",
M.D,WS,Lowland,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,,,,Min M.D. value,
M.D,WS,Highland,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,,,,Min M.D. value,
M.D,WS,Periurban,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,,,,Min M.D. value,
M.D,DS,Lowland,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,,,,Min M.D. value,
M.D,DS,Highland,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,,,,Min M.D. value,
M.D,DS,Periurban,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,,,,Min M.D. value,
Fertility,,,,,,,0.72,,0.68,,0.71,,,,"Wilkes et al., 2020",
LL,,,,,,,240,,135,,240,,,,"Yetera, Urge, & Nurfeta, 2018 (cows); Rahimi et al. (sheep and goats)",
DMY,WS,Lowland,,,,,1.6,,0.27,,0.73,,,,"Yetera, Urge, & Nurfeta, 2018 (cows); Rahimi et al. (sheep and goats)",
DMY,WS,Highland,,,,,1.55,,0.17,,0.5,,,,"Yetera, Urge, & Nurfeta, 2018 (cows); Rahimi et al. (sheep and goats)",
DMY,WS,Periurban,,,,,5.2,,0.17,,0.5,,,,"Adane & Ayalew, 2020 (cows); Rahimi et al. (sheep and goats)",
DMY,DS,Lowland,,,,,1.6,,0.03,,0.09,,,,Same as WS (cows),  Rahimi et al. (sheep and goats)
DMY,DS,Highland,,,,,1.55,,0.08,,0.25,,,,Same as WS (cows),  Rahimi et al. (sheep and goats)
DMY,DS,Periurban,,,,,5.2,,0.08,,0.25,,,,Same as WS (cows),  Rahimi et al. (sheep and goats)
WD,WS,Lowland,5.5,5.5,2.5,5.5,2.5,2.5,5.5,2.5,5.5,,,,"Rahimi et al., 2021 - Sahel",
WD,WS,Highland,2,2,1,2,1,1,2,1,2,,,,Authors' estimate,
WD,WS,Periurban,0.5,0.5,0.2,0.5,0.2,0.2,0.5,0.2,0.5,,,,Authors' estimate,
WD,DS,Lowland,5.5,5.5,2.5,5.5,5.5,2.5,5.5,2.5,5.5,,,,"Rahimi et al., 2021 - Sahel",
WD,DS,Highland,2,2,1,2,2,1,2,1,2,,,,Authors' estimate,
WD,DS,Periurban,0.5,0.5,0.2,0.5,0.2,0.2,0.5,0.2,0.5,,,,Authors' estimate,
Work,WS,Highland,0.85,,,,,,,,,,,,,
Work,All,All,,,,,,,,,,0.1466,0.7609,0.1548,,
