Variable,Season,Region,Bull,Steer,Calf,Heifer,Cow,Lamb,Sheep,Kid,Goat,Horse,Donkey,Camel,Source,
HS,,Lowland,0.11,0,0.07,0.24,0.58,0.33,0.67,0.33,0.67,,,,"A., Yetera, M. Urge, & A. Nurfeta, 2018",
HS,,Highland,0.22,0,0.07,0.19,0.52,0.33,0.67,0.33,0.67,,,,"A., Yetera, M. Urge, & A. Nurfeta, 2018",
HS,,Periurban,0.11,0,0.07,0.19,0.63,0.33,0.67,0.33,0.67,,,,Assumed the same as the highlands except no bulls,
K,,,1.3,1.3,1.3,1.3,1.3,1,1,1,1,,,,"Rahimi et al., 2021",
S,,,1.15,1.15,1.08,1,1,1.08,1,1.08,1,,,,"Rahimi et al., 2021",
M,,,1,1,1.08,1,1,1.05,1,1.05,1,,,,"Rahimi et al., 2021",
Age,,,3.5,2.5,0.5,2.5,3.5,0.5,1.5,0.5,1.5,,,,"Rahimi et al., 2021",
MLW,WS,Lowland,282.10196,179.595,49.702884,162.1455,247.328,13,34,8,29,,,,Wilkes et al. Table A6.3 Margins of error,
MLW,WS,Highland,285.44956,182.6545,33.94242,147.18796,239.61472,11,28,8,27,,,,Wilkes et al. Table A6.3 Margins of error,
MLW,WS,Periurban,296.6328,210.105,37.854,211.7754,303.79168,11,28,8,27,,,,Wilkes et al. Table A6.3 Margins of error,
MLW,DS,Lowland,282.10196,179.595,49.702884,162.1455,247.328,13,34,8,29,,,,Wilkes et al. Table A6.3 Margins of error,
MLW,DS,Highland,285.44956,182.6545,33.94242,147.18796,239.61472,11,28,8,27,,,,Wilkes et al. Table A6.3 Margins of error,
MLW,DS,Periurban,296.6328,210.105,37.854,211.7754,303.79168,11,28,8,27,,,,Wilkes et al. Table A6.3 Margins of error,
DWG,WS,Lowland,0,0.1484652,0.3395292,0.12276,0,0.04,0,0.019,0,,,,Wilkes et al. Table A6.3 Margins of error,
DWG,WS,Highland,0.46,0.16261,0.2283858,0.1208986,0,0.04,0,0.019,0,,,,"Wilkes et al. Table A6.3 Margins of error; Bulls from multiple published sources from Oromia, Amhara and SNNPR",
DWG,WS,Periurban,0.46,0.20447,0.214506,0.2133982,0,0.04,0,0.019,0,,,,"Wilkes et al. Table A6.3 Margins of error; Bulls from multiple published sources from Oromia, Amhara and SNNPR",
DWG,DS,Lowland,0,0.1484652,0.3395292,0.12276,0,0.04,0,0.019,0,,,,Wilkes et al. Table A6.3 Margins of error,
DWG,DS,Highland,0.46,0.16261,0.2283858,0.1208986,0,0.04,0,0.019,0,,,,"Wilkes et al. Table A6.3 Margins of error; Bulls from multiple published sources from Oromia, Amhara and SNNPR",
DWG,DS,Periurban,0.46,0.20447,0.214506,0.2133982,0,0.04,0,0.019,0,,,,"Wilkes et al. Table A6.3 Margins of error; Bulls from multiple published sources from Oromia, Amhara and SNNPR",
M.D,WS,Lowland,9.84,9.84,9.84,9.84,9.84,9.84,9.84,9.84,9.84,,,,Max M.D. value,
M.D,WS,Highland,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,,,,Max M.D. value,
M.D,WS,Periurban,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,,,,Max M.D. value,
M.D,DS,Lowland,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,,,,Max M.D. value,
M.D,DS,Highland,10.04,10.04,10.04,10.04,10.04,10.04,10.04,10.04,10.04,,,,Max M.D. value,
M.D,DS,Periurban,10.04,10.04,10.04,10.04,10.04,10.04,10.04,10.04,10.04,,,,Max M.D. value,
Fertility,,,,,,,0.72,,0.68,,0.71,,,,"Wilkes et al., 2020",
LL,,,,,,,240,,135,,240,,,,"Yetera, Urge, & Nurfeta, 2018 (cows); Rahimi et al. (sheep and goats)",
DMY,WS,Lowland,,,,,1.26,,0.27,,0.73,,,,"Yetera, Urge, & Nurfeta, 2018 (cows); Rahimi et al. (sheep and goats)",
DMY,WS,Highland,,,,,1.43,,0.17,,0.5,,,,"Yetera, Urge, & Nurfeta, 2018 (cows); Rahimi et al. (sheep and goats)",
DMY,WS,Periurban,,,,,4,,0.17,,0.5,,,,"Adane & Ayalew, 2020 (cows); Rahimi et al. (sheep and goats)",
DMY,DS,Lowland,,,,,1.26,,0.03,,0.09,,,,Same as WS (cows),  Rahimi et al. (sheep and goats)
DMY,DS,Highland,,,,,1.43,,0.08,,0.25,,,,Same as WS (cows),  Rahimi et al. (sheep and goats)
DMY,DS,Periurban,,,,,4,,0.08,,0.25,,,,Same as WS (cows),  Rahimi et al. (sheep and goats)
WD,WS,Lowland,5.5,5.5,2.5,5.5,2.5,2.5,5.5,2.5,5.5,,,,"Rahimi et al., 2021 - Sahel",
WD,WS,Highland,2,2,1,2,1,1,2,1,2,,,,Authors' estimate,
WD,WS,Periurban,0.5,0.5,0.2,0.5,0.2,0.2,0.5,0.2,0.5,,,,Authors' estimate,
WD,DS,Lowland,5.5,5.5,2.5,5.5,5.5,2.5,5.5,2.5,5.5,,,,"Rahimi et al., 2021 - Sahel",
WD,DS,Highland,2,2,1,2,2,1,2,1,2,,,,Authors' estimate,
WD,DS,Periurban,0.5,0.5,0.2,0.5,0.2,0.2,0.5,0.2,0.5,,,,Authors' estimate,
Work,WS,Highland,0.85,,,,,,,,,,,,,
Work,All,All,,,,,,,,,,0.1466,0.7609,0.1548,,
