Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
159,'566,Nigeria,866,'02111,Cattle,5111,Stocks,2020,2020,An,20585153,A,NA
159,'566,Nigeria,866,'02111,Cattle,5111,Stocks,2021,2021,An,20764244,A,NA
159,'566,Nigeria,866,'02111,Cattle,5111,Stocks,2022,2022,An,20905254,I,NA
159,'566,Nigeria,1016,'02123,Goats,5111,Stocks,2020,2020,An,84039154,A,NA
159,'566,Nigeria,1016,'02123,Goats,5111,Stocks,2021,2021,An,86140133,A,NA
159,'566,Nigeria,1016,'02123,Goats,5111,Stocks,2022,2022,An,88037053,I,NA
159,'566,Nigeria,976,'02122,Sheep,5111,Stocks,2020,2020,An,47926393,A,NA
159,'566,Nigeria,976,'02122,Sheep,5111,Stocks,2021,2021,An,49124553,A,NA
159,'566,Nigeria,976,'02122,Sheep,5111,Stocks,2022,2022,An,50284350,I,NA
159,'566,Nigeria,866,'02111,Cattle,5111,Stocks,2023,2023,An,21047222,B,NA
159,'566,Nigeria,1016,'02123,Goats,5111,Stocks,2023,2023,An,89975746,B,NA
159,'566,Nigeria,976,'02122,Sheep,5111,Stocks,2023,2023,An,51471529,B,NA
