Variable,Statistic,Season,Region,Bull,Steer,Calf,Heifer,Cow,Lamb,Sheep,Kid,Goat,Horse,Donkey
HS,Minimum,All,Dry Savannah,0.05,0.07,0.27,0.14,0.47,0.33,0.67,0.33,0.67,,
HS,Minimum,All,Wet Savannah,0.2227,0.0372,0.2063,0.2105,0.3233,0.33,0.67,0.33,0.67,,
HS,Minimum,All,Forest,0.2227,0.0372,0.2063,0.2105,0.3233,0.33,0.67,0.33,0.67,,
HS,Minimum,All,Periurban,0.116,0.0372,0.2063,0.2105,0.43,0.33,0.67,0.33,0.67,,
HS,Mean,All,Dry Savannah,0.05,0.07,0.27,0.14,0.47,0.33,0.67,0.33,0.67,,
HS,Mean,All,Wet Savannah,0.2227,0.0372,0.2063,0.2105,0.3233,0.33,0.67,0.33,0.67,,
HS,Mean,All,Forest,0.2227,0.0372,0.2063,0.2105,0.3233,0.33,0.67,0.33,0.67,,
HS,Mean,All,Periurban,0.116,0.0372,0.2063,0.2105,0.43,0.33,0.67,0.33,0.67,,
HS,Maximum,All,Dry Savannah,0.05,0.07,0.27,0.14,0.47,0.33,0.67,0.33,0.67,,
HS,Maximum,All,Wet Savannah,0.2227,0.0372,0.2063,0.2105,0.3233,0.33,0.67,0.33,0.67,,
HS,Maximum,All,Forest,0.2227,0.0372,0.2063,0.2105,0.3233,0.33,0.67,0.33,0.67,,
HS,Maximum,All,Periurban,0.116,0.0372,0.2063,0.2105,0.43,0.33,0.67,0.33,0.67,,
K,All,All,All,1.3,1.3,1.3,1.3,1.3,1,1,1,1,,
S,All,All,All,1.15,1.15,1.08,1,1,1.08,1,1.08,1,,
M,All,All,All,1,1,1.08,1,1,1.05,1,1.05,1,,
Age,All,All,All,3.5,2.5,0.5,2.5,3.5,0.5,1.5,0.5,1.5,,
MLW,Minimum,WS,Dry Savannah,255,11,10,124,227,14,10,10,25,350,126
MLW,Minimum,WS,Wet Savannah,265,174,20,152,253,24,32,17,28,350,126
MLW,Minimum,WS,Forest,265,174,20,152,253,24,32,17,28,350,126
MLW,Mean,WS,Dry Savannah,260,147,54,142,234,16,32,12,25.5,350,126
MLW,Mean,WS,Wet Savannah,323,210,84,195,274,25,35,19,30,350,126
MLW,Mean,WS,Forest,323,210,84,195,274,25,35,19,30,350,126
MLW,Maximum,WS,Dry Savannah,265,196,87,166,240,18,34,14,26,350,126
MLW,Maximum,WS,Wet Savannah,380,256,134,226,295,26,38,21,32,350,126
MLW,Maximum,WS,Forest,380,256,134,226,295,26,38,21,32,350,126
MLW,Minimum,DS,Dry Savannah,224,100,10,109,198,14,23,10,18,350,126
MLW,Minimum,DS,Wet Savannah,277,153,20,134,221,24,25,15,20,350,126
MLW,Minimum,DS,Forest,277,153,20,134,221,24,25,15,20,350,126
MLW,Mean,DS,Dry Savannah,229,129,54,125,205,16,25,12,20,350,126
MLW,Mean,DS,Wet Savannah,284,185,84,172,241,25,27,19,23,350,126
MLW,Mean,DS,Forest,284,185,84,172,241,25,27,19,23,350,126
MLW,Maximum,DS,Dry Savannah,234,158,87,141,212,18,27,14,22,350,126
MLW,Maximum,DS,Wet Savannah,291,217,134,210,261,26,29,23,26,350,126
MLW,Maximum,DS,Forest,291,217,134,210,261,26,29,23,26,350,126
DWG,Minimum,WS,Dry Savannah,0.246,0.471,0.103,0.329,0.308,0.1,0.192,0.072,0.162,,
DWG,Minimum,WS,Wet Savannah,0.258,0.252,0.319,0.192,0.144,0.075,0.073,0.058,0.072,,
DWG,Minimum,WS,Forest,0.258,0.252,0.319,0.192,0.144,0.075,0.073,0.058,0.072,,
DWG,Mean,WS,Dry Savannah,0.246,0.471,0.103,0.329,0.308,0.1,0.192,0.072,0.162,,
DWG,Mean,WS,Wet Savannah,0.258,0.252,0.319,0.192,0.144,0.075,0.073,0.058,0.072,,
DWG,Mean,WS,Forest,0.258,0.252,0.319,0.192,0.144,0.075,0.073,0.058,0.072,,
DWG,Maximum,WS,Dry Savannah,0.246,0.471,0.103,0.329,0.308,0.1,0.192,0.072,0.162,,
DWG,Maximum,WS,Wet Savannah,0.258,0.252,0.319,0.192,0.144,0.075,0.073,0.058,0.072,,
DWG,Maximum,WS,Forest,0.258,0.252,0.319,0.192,0.144,0.075,0.073,0.058,0.072,,
DWG,Minimum,DS,Dry Savannah,-0.015,-0.028,0.001,-0.02,-0.019,0.027,-0.029,0.019,-0.023,,
DWG,Minimum,DS,Wet Savannah,-0.062,-0.061,0.001,-0.046,-0.035,0.076,-0.063,0.028,-0.055,,
DWG,Minimum,DS,Forest,-0.062,-0.061,0.001,-0.046,-0.035,0.076,-0.063,0.028,-0.055,,
DWG,Mean,DS,Dry Savannah,-0.015,-0.028,0.001,-0.02,-0.019,0.027,-0.029,0.019,-0.023,,
DWG,Mean,DS,Wet Savannah,-0.062,-0.061,0.001,-0.046,-0.035,0.076,-0.063,0.028,-0.055,,
DWG,Mean,DS,Forest,-0.062,-0.061,0.001,-0.046,-0.035,0.076,-0.063,0.028,-0.055,,
DWG,Maximum,DS,Dry Savannah,-0.015,-0.028,0.001,-0.02,-0.019,0.027,-0.029,0.019,-0.023,,
DWG,Maximum,DS,Wet Savannah,-0.062,-0.061,0.001,-0.046,-0.035,0.076,-0.063,0.028,-0.055,,
DWG,Maximum,DS,Forest,-0.062,-0.061,0.001,-0.046,-0.035,0.076,-0.063,0.028,-0.055,,
M.D,Minimum,WS,Dry Savannah,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,,
M.D,Minimum,WS,Wet Savannah,6.22,6.22,6.22,6.22,6.22,6.22,6.22,6.22,6.22,,
