"LGA","burnEventsCrop","burnEventsGrass"
"Aba North",0,0
"Aba South",0,0
"Arochukwu",0,1
"Bende",1,1
"Ikwuano",0,0
"Isiala Ngwa North",0,0
"Isiala Ngwa South",0,1
"Isuikwuato",0,1
"Obi Ngwa",1,1
"Ohafia",1,1
"Osisioma Ngwa",0,1
"Ugwunagbo",0,0
"Ukwa East",1,1
"Ukwa West",1,1
"Umu Nneochi",1,1
"Umuahia North",0,1
"Umuahia South",0,0
"Demsa",1,1
"Fufore",1,1
"Ganye",1,1
"Girie",1,1
"Gombi",1,1
"Guyuk",1,1
"Hong",1,1
"Jada",1,1
"Lamurde",1,1
"Madagali",1,1
"Maiha",1,1
"Mayo-Belwa",1,1
"Michika",1,1
"Mubi North",1,1
"Mubi South",0,0
"Numan",1,1
"Shelleng",1,1
"Song",1,1
"Teungo",1,1
"Yola North",0,1
"Yola South",1,1
"Abak",0,0
"Eastern Obolo",0,0
"Eket",1,1
"Esit Eket",0,0
"Essien Udim",0,1
"Etim Ekpo",0,0
"Etinan",0,0
"Ibeno",0,1
"Ibesikpo Asutan",0,0
"Ibiono Ibom",0,0
"Ika",0,0
"Ikono",0,0
"Ikot Abasi",0,0
"Ikot Ekpene",0,0
"Ini",0,1
"Itu",0,0
"Mbo",0,0
"Mkpat Enin",0,0
"Nsit Atai",0,0
"Nsit Ibom",0,0
"Nsit Ubium",0,0
"Obot Akara",0,0
"Okobo",0,1
"Onna",0,1
"Oron",0,0
"Oruk Anam",0,0
"Udung Uko",0,1
"Ukanafun",0,0
"Uruan",0,0
"Urue Offong",0,0
"Uyo",0,0
"Aguata",0,0
"Anambra East",1,1
"Anambra West",0,1
"Anaocha",0,0
"Awka North",1,1
"Awka South",0,0
"Ayamelum",1,1
"Dunukofia",0,0
"Ekwusigo",0,0
"Idemili North",1,1
"Idemili South",1,1
"Ihiala",1,1
"Njikoka",0,0
"Nnewi North",1,1
"Nnewi South",0,0
"Ogbaru",0,1
"Onitsha North",0,0
"Onitsha South",0,0
"Orumba North",1,1
"Orumba South",0,0
"Oyi",0,0
"Alkaleri",1,1
"Bauchi",1,1
"Bogoro",1,1
"Damban",0,0
"Darazo",1,1
"Dass",1,1
"Gamawa",0,0
"Ganjuwa",1,1
"Giade",0,0
"Itas/Gadau",0,0
"Jama'are",0,0
"Katagum",0,0
"Kirfi",1,1
"Misau",1,1
"Ningi",1,1
"Shira",0,0
"Tafawa-Balewa",1,1
"Toro",1,1
"Warji",1,1
"Zaki",0,0
"Brass",1,1
"Ekeremor",0,1
"Kolokuma/Opokuma",0,0
"Nembe",0,1
"Ogbia",0,0
"Sagbama",0,0
"Southern Ijaw",0,1
"Yenagoa",0,1
"Ado",1,1
"Agatu",1,1
"Apa",1,1
"Bukuru",1,1
"Gboko",1,1
"Guma",1,1
"Gwer East",1,1
"Gwer West",1,1
"Katsina-Ala",1,1
"Konshisha",1,1
"Kwande",1,1
"Logo",1,1
"Makurdi",1,1
"Obi",1,1
"Ogbadibo",0,1
"Ohimini",1,1
"Oju",1,1
"Okpokwu",1,1
"Otukpo",1,1
"Tarka",1,1
"Ukum",1,1
"Ushongo",1,1
"Vande Ikya",0,0
"Abadam",1,1
"Askira/Uba",1,1
"Bama",1,1
"Bayo",1,1
"Biu",1,1
"Chibok",1,1
"Damboa",1,1
"Dikwa",1,1
"Gubio",1,1
"Guzamala",1,1
"Gwoza",1,1
"Hawul",1,1
"Jere",1,1
"Kaga",1,1
"Kala/Balge",1,1
"Konduga",1,1
"Kukawa",1,1
"Kwaya Kusar",0,0
"Lake Chad",1,1
"Mafa",1,1
"Magumeri",1,1
"Maiduguri",1,1
"Marte",1,1
"Mobbar",1,1
"Monguno",1,1
"Ngala",1,1
"Nganzai",1,1
"Shani",0,0
"Abi",1,1
"Akamkpa",0,1
"Akpabuyo",0,0
"Bakassi",0,0
"Bekwarra",1,1
"Biase",0,1
"Boki",0,1
"Calabar",0,0
"Calabar South",0,0
"Etung",0,0
"Ikom",1,1
"Obanliku",1,1
"Obubra",1,1
"Obudu",1,1
"Odukpani",0,1
"Ogoja",1,1
"Yakurr",0,1
"Yala",1,1
"Aniocha North",1,1
"Aniocha South",1,1
"Bomadi",0,0
"Burutu",0,0
"Ethiope East",1,1
"Ethiope West",1,1
"Ika North-East",1,1
"Ika South",1,1
"Isoko North",1,1
"Isoko South",1,1
"Ndokwa East",1,1
"Ndokwa West",1,1
"Okpe",0,0
"Oshimili North",1,1
"Oshimili South",0,0
"Patani",0,0
"Sapele",1,1
"Udu",1,1
"Ughelli North",1,1
"Ughelli South",1,1
"Ukwuani",1,1
"Uvwie",0,0
"Warri North",1,1
"Warri South",0,0
"Warri South-West",0,1
"Abakaliki",1,1
"Afikpo North",1,1
"Afikpo South",0,1
"Ebonyi",0,1
"Ezza North",1,1
"Ezza South",1,1
"Ikwo",0,1
"Ishielu",1,1
"Ivo",1,1
"Izzi",1,1
"Ohaozara",1,1
"Ohaukwu",1,1
"Onicha",1,1
"Akoko-Edo",1,1
"Egor",0,0
"Esan Central",1,1
"Esan North-East",1,1
"Esan South-East",1,1
"Esan West",1,1
"Etsako Central",1,1
"Etsako East",1,1
"Etsako West",1,1
"Igueben",1,1
"Ikpoba-Okha",1,1
"Oredo",1,1
"Orhionmwon",1,1
"Ovia North-East",1,1
"Ovia South-West",1,1
"Owan East",1,1
"Owan West",1,1
"Uhunmwonde",1,1
"Ado-Ekiti",1,1
"Efon",1,1
"Ekiti East",0,0
"Ekiti South-West",1,1
"Ekiti West",1,1
"Emure/Ise/Orun",0,1
"Gboyin",1,0
"Ido-Osi",1,1
"Ijero",1,1
"Ikere",1,1
"Ikole",1,1
"Ilejemeje",1,1
