"STATE","CTL"
"Abia",7995
"Adamawa",878782
"Akwa Ibom",8106
"Anambra",21460
"Bauchi",1723795
"Bayelsa",2139
"Benue",214286
"Borno",2173180
"Cross River",15266
"Delta",29771
"Ebonyi",33300
"Edo",36896
"Ekiti",5600
"Enugu",34571
"Federal Capital Territory",215833
"Gombe",654091
"Imo",9824
"Jigawa",889440
"Kaduna",1408323
"Kano",561125
"Katsina",922798
"Kebbi",1183334
"Kogi",306290
"Kwara",463495
"Lagos",4524
"Nasarawa",473481
"Niger",1608346
"Ogun",42897
"Ondo",8636
"Osun",34692
"Oyo",275700
"Plateau",1014084
"Rivers",2354
"Sokoto",1292488
"Taraba",1173646
"Yobe",1721767
"Zamfara",1168139
