"STATE","CTL"
"Abia",22374
"Adamawa",2459198
"Akwa Ibom",22684
"Anambra",60055
"Bauchi",4823899
"Bayelsa",5985
"Benue",599661
"Borno",6081464
"Cross River",42721
"Delta",83311
"Ebonyi",93187
"Edo",103252
"Ekiti",15672
"Enugu",96743
"Federal Capital Territory",603992
"Gombe",1830419
"Imo",27493
"Jigawa",2489024
"Kaduna",3941076
"Kano",1570261
"Katsina",2582373
"Kebbi",3311464
"Kogi",857127
"Kwara",1297052
"Lagos",12660
"Nasarawa",1324997
"Niger",4500824
"Ogun",120045
"Ondo",24168
"Osun",97082
"Oyo",771525
"Plateau",2837830
"Rivers",6588
"Sokoto",3616922
"Taraba",3284351
"Yobe",4818222
"Zamfara",3268942
