"State","Crop residue","Grass","Browse","Other biomass"
"Abia",11.5,53.7,29.8,5
"Adamawa",40.6,32.9,4.2,22.3
"Akwa Ibom",10.5,54.7,29.8,5
"Anambra",15.3,62.6,15.3,6.8
"Bauchi",46.6,22.8,0.5,30.1
"Bayelsa",1.9,46.9,50.1,1.1
"Benue",38.7,38.3,3.1,19.9
"Borno",15.8,64.6,0.5,19.1
"Cross River",21.5,31.6,36.6,10.2
"Delta",12.4,52.2,29.1,6.4
"Ebonyi",46.7,27.3,3.7,22.2
"Edo",20.5,48.5,20.1,10.9
"Ekiti",6.1,55.9,34.9,3.1
"Enugu",18.7,56.5,15.8,9
"Federal Capital Territory",34.3,43.4,6.5,15.7
"Gombe",52,17.8,0.3,30
"Imo",13,52,29.7,5.3
"Jigawa",49.2,11.8,0.1,39
"Kaduna",37.2,35.6,1.7,25.6
"Kano",54,9.4,0.3,36.3
"Katsina",49.9,12.3,0.2,37.6
"Kebbi",51.4,19.6,0.3,28.7
"Kogi",15,61.3,15.8,8
"Kwara",33,47,3.2,16.8
"Lagos",10.5,54.2,30.3,5.1
"Nasarawa",41,35.7,3.3,19.9
"Niger",49.3,24.9,1.5,24.3
"Ogun",16.1,55.3,19.2,9.3
"Ondo",13.2,39.4,41.6,5.8
"Osun",2.9,40.4,55.1,1.7
"Oyo",34.4,40.2,7.6,17.8
"Plateau",41.3,31.1,1.2,26.5
"Rivers",9.7,57.1,28.5,4.6
"Sokoto",37.6,38.1,0.4,24
"Taraba",25.1,51.3,11.9,11.7
"Yobe",42.9,20,0.2,36.9
"Zamfara",40.8,26.1,0.8,32.2
