"LGA","cropDM_kg","grassDM_kg","browseDM_kg"
"Aba North",102568.3984375,274840.8125,50712.77734375
"Aba South",2268314.75,5787344.5,1420588.875
"Arochukwu",10748780,90905136,72581512
"Bende",34871164,131695896,113642544
"Ikwuano",12372532,92619936,25779708
"Isiala Ngwa North",12788319,89048480,23683914
"Isiala Ngwa South",15707799,69906704,28167624
"Isuikwuato",10580284,76407840,56103168
"Obi Ngwa",28547392,85504488,24641738
"Ohafia",30341166,135929824,75951184
"Osisioma Ngwa",18358134,31054352,16006842
"Ugwunagbo",1752047.625,34544632,12203919
"Ukwa East",5195997,58672716,41954340
"Ukwa West",10303358,67893016,40516740
"Umu Nneochi",35389736,105185480,38402868
"Umuahia North",9694770,42487408,36734576
"Umuahia South",5620923,32317264,15775976
"Demsa",289832960,101241624,716637.75
"Fufore",516224672,330926880,17091064
"Ganye",259549264,388145120,66531096
"Girie",329613632,56222884,735691.125
"Gombi",135672928,56282648,1466923.5
"Guyuk",75213376,23982674,95331.015625
"Hong",511634464,79144608,1972118.5
"Jada",317844480,165545856,14730100
"Lamurde",82369264,208723040,1322632.625
"Madagali",39259172,57562308,1639032.875
"Maiha",79233080,35452364,1105863.5
"Mayo-Belwa",412413696,75041880,2535161
"Michika",70378416,70356384,2913749
"Mubi North",81397016,69980688,5646630
"Mubi South",25402080,22132510,1241973.125
"Numan",48372340,132847352,331786.21875
"Shelleng",233739280,74515512,1293364
"Song",593335360,403332576,18542564
"Teungo",183714688,1638223232,442163392
"Yola North",7177877.5,9271793,254732.375
"Yola South",56909912,12142128,95842.703125
"Abak",11315484,32254524,29616098
"Eastern Obolo",56184.58984375,12418797,5013741
"Eket",4085908.25,41178236,18331738
"Esit Eket",8660936,19782224,7200771.5
"Essien Udim",16615897,82559256,31512504
"Etim Ekpo",3560833.25,49664968,39958148
"Etinan",2189769,36307644,26765312
"Ibeno",1100769.625,18134584,11477156
"Ibesikpo Asutan",10556543,36604000,25985878
"Ibiono Ibom",25841680,64036580,39933088
"Ika",2191672.75,45568064,12236925
"Ikono",27770424,64722244,30868682
"Ikot Abasi",8090911,105829104,30090146
"Ikot Ekpene",7160597.5,26529354,11486141
"Ini",26881418,123689736,71048560
"Itu",20711412,31933630,35486844
"Mbo",11018857,50937008,18824418
"Mkpat Enin",3154226.5,104391152,46929200
"Nsit Atai",2373432.5,14782334,27484818
"Nsit Ibom",3188964,15449050,23067484
"Nsit Ubium",3231096.5,39563960,36665292
"Obot Akara",11542403,80666560,23773820
"Okobo",23453166,49707268,23098636
"Onna",2242144.25,65252524,16305837
"Oron",5472199,13580959,2442678.5
"Oruk Anam",8799673,151121440,70096552
"Udung Uko",3154908.25,14702902,9311797
"Ukanafun",3048637,60125300,60709340
"Uruan",20479012,65926528,40332776
"Urue Offong",12024805,40241776,16881624
"Uyo",12397744,20426056,12482620
"Aguata",1149405.5,21272938,6618180
"Anambra East",15699092,60697660,5115825.5
"Anambra West",25657580,164593792,12513935
"Anaocha",1320259.875,9986933,3166372
"Awka North",23252884,77372264,15627252
"Awka South",5946001.5,25210660,5820937
"Ayamelum",47579180,82260144,5644367.5
"Dunukofia",1625555.625,8903163,1182711.625
"Ekwusigo",1352015,13814441,9351186
"Idemili North",821884.1875,11205476,2567715
"Idemili South",1120301.625,11941978,6853850
"Ihiala",6847015,41577984,9338095
"Njikoka",1411436.5,13492111,3030369.25
"Nnewi North",892279.375,5615227,1204711.25
"Nnewi South",5300232,25814544,8820913
"Ogbaru",7709380,52044460,48118160
"Onitsha North",106200.625,1111698,1061425.125
"Onitsha South",121279.2578125,2578373.75,1381037.25
"Orumba North",17508000,70388584,27642354
"Orumba South",15182779,43473816,14957636
"Oyi",3865655.75,18107896,1979092.625
"Alkaleri",612794560,1038784064,17755746
"Bauchi",711927680,203726960,2384391
"Bogoro",147319216,27502426,1076882.25
"Damban",110494344,11751276,95371.2734375
"Darazo",295970560,107909080,519711.0625
"Dass",93493120,71308624,1600930.625
"Gamawa",319359744,63989256,952139.125
"Ganjuwa",968112448,219954864,4773928
"Giade",98415944,8814959,86088.3125
"Itas/Gadau",193485040,20523002,102840.265625
"Jama'are",100356536,10547029,62081.66796875
"Katagum",271932320,28345384,198596.90625
"Kirfi",330363648,125924048,822939.125
"Misau",164363840,15040234,226674.453125
"Ningi",873796416,552768576,24832222
"Shira",139684352,12529672,87724.1640625
"Tafawa-Balewa",465436640,206003680,9047938
"Toro",1269579904,953227200,24759686
"Warji",113348256,12109122,92525.3828125
"Zaki",146458656,46954984,348954.125
"Brass",543533.25,356832128,92171432
"Ekeremor",15990748,318540800,519966048
"Kolokuma/Opokuma",3115125.25,32813914,96770480
"Nembe",472065.9375,215303056,16061825
"Ogbia",4135754.25,74819128,195063104
"Sagbama",13648463,66139192,252382976
