"STATE","GTS"
"Abia",691008
"Adamawa",1720260
"Akwa Ibom",2156125
"Anambra",553744
"Bauchi",845588
"Bayelsa",240746
"Benue",4463650
"Borno",2762593
"Cross River",443545
"Delta",2085877
"Ebonyi",1045410
"Edo",1433986
"Ekiti",1060903
"Enugu",1586681
"Federal Capital Territory",967079
"Gombe",1389418
"Imo",1602158
"Jigawa",6202530
"Kaduna",2182845
"Kano",4223684
"Katsina",6223664
"Kebbi",3087442
"Kogi",2763740
"Kwara",2097858
"Lagos",26097
"Nasarawa",1922648
"Niger",1750434
"Ogun",1206423
"Ondo",2397894
"Osun",4098676
"Oyo",3379176
"Plateau",4233906
"Rivers",1713715
"Sokoto",1729666
"Taraba",1353635
"Yobe",2294511
"Zamfara",5107153
