"STATE","GTS"
"Abia",973460
"Adamawa",2423424
"Akwa Ibom",3037452
"Anambra",780089
"Bauchi",1191227
"Bayelsa",339152
"Benue",6288189
"Borno",3891817
"Cross River",624846
"Delta",2938490
"Ebonyi",1472726
"Edo",2020135
"Ekiti",1494553
"Enugu",2235245
"Federal Capital Territory",1362378
"Gombe",1957350
"Imo",2257048
"Jigawa",8737846
"Kaduna",3075094
"Kano",5950137
"Katsina",8767618
"Kebbi",4349450
"Kogi",3893433
"Kwara",2955369
"Lagos",36764
"Nasarawa",2708539
"Niger",2465934
"Ogun",1699554
"Ondo",3378046
"Osun",5774030
"Oyo",4760432
"Plateau",5964537
"Rivers",2414205
"Sokoto",2436676
"Taraba",1906940
"Yobe",3232404
"Zamfara",7194728
