Region,Season,MERx,Bull,Cow,Steer,Heifer,Calf,Sheep,Goat,Lamb,Kid
Dry Savannah,DS,MERm,39.13127977088923,31.31590704091743,25.64862443497198,21.782436920575226,13.756739004434143,5.051379126952355,4.272946503666325,4.131734021500985,3.3298778593479916
Dry Savannah,WS,MERm,38.84577198724709,31.21244559696657,25.53148658633173,21.63249039083761,12.41600285384326,5.4863530146892865,4.627286609089188,3.729053912103905,3.005346906071854
Forest,DS,MERm,43.69698426730719,33.59523256449807,31.938599053524932,26.295749928094068,18.20727337479837,5.085024531919522,4.5088533104722055,5.486718086472561,4.466042385299712
Forest,WS,MERm,45.66697245188196,35.100670335365216,33.33029485400499,27.415918649242418,17.277564839009425,5.862176376943795,5.222143345210711,5.20655265294193,4.237995184527985
Wet Savannah,DS,MERm,43.69698426730719,33.59523256449807,31.938599053524932,26.295749928094068,18.20727337479837,5.085024531919522,4.5088533104722055,5.486718086472561,4.466042385299712
Wet Savannah,WS,MERm,45.66697245188196,35.100670335365216,33.33029485400499,27.415918649242418,17.277564839009425,5.862176376943795,5.222143345210711,5.20655265294193,4.237995184527985
Dry Savannah,DS,MERt,3.2746999999999997,2.9314999999999998,1.8447,0.8125,0.7722,0.9035,0.7228,0.57824,0.43368
Dry Savannah,WS,MERt,3.718,1.521,2.1021,2.0305999999999997,0.351,0.96512,0.76908,0.48256,0.36191999999999996
Forest,DS,MERt,4.0611999999999995,3.4463,2.6454999999999997,1.1179999999999999,1.2012,0.6668999999999999,0.5680999999999999,0.6174999999999999,0.4693
Forest,WS,MERt,4.6189,1.781,3.0029999999999997,2.7885,0.5459999999999999,0.8462999999999999,0.7253999999999999,0.6045,0.45942000000000005
Wet Savannah,DS,MERt,4.0611999999999995,3.4463,2.6454999999999997,1.1179999999999999,1.2012,0.6668999999999999,0.5680999999999999,0.6174999999999999,0.4693
Wet Savannah,WS,MERt,4.6189,1.781,3.0029999999999997,2.7885,0.5459999999999999,0.8462999999999999,0.7253999999999999,0.6045,0.45942000000000005
Periurban,DS,MERt,0.3692,0.12532000000000001,0.2405,0.2236,0.04368,0.0351,0.0299,0.013,0.00988
Periurban,WS,MERt,0.4199,0.14248,0.27299999999999996,0.2535,0.04368,0.0455,0.039,0.013,0.00988
Dry Savannah,DS,MERl,NA,24.184530386740327,NA,NA,NA,0.8436464088397789,2.530939226519337,NA,NA
Dry Savannah,WS,MERl,NA,15.449647058823526,NA,NA,NA,4.850470588235294,13.114235294117645,NA,NA
Forest,DS,MERl,NA,27.583092485549134,NA,NA,NA,1.7653179190751445,5.516618497109826,NA,NA
Forest,WS,MERl,NA,22.37690504103165,NA,NA,NA,1.4321219226260258,4.47538100820633,NA,NA
Wet Savannah,DS,MERl,NA,25.15578034682081,NA,NA,NA,1.7653179190751445,5.516618497109826,NA,NA
Wet Savannah,WS,MERl,NA,20.407737397420863,NA,NA,NA,3.0432590855803046,8.95076201641266,NA,NA
Periurban,DS,MERl,NA,25.15578034682081,NA,NA,NA,1.7653179190751445,5.516618497109826,NA,NA
Periurban,WS,MERl,NA,20.407737397420863,NA,NA,NA,3.0432590855803046,8.95076201641266,NA,NA
Dry Savannah,DS,MERg,-0.34500000000000003,-0.43699999999999994,-0.6439999999999999,-0.45999999999999996,0.12475422062512714,-0.667,-0.529,3.368363956878433,2.3703301918774153
Dry Savannah,WS,MERg,16.19463327370304,20.276207513416818,31.006797853309482,21.65867620751342,6.780679785330949,12.639713774597498,10.664758497316638,6.583184257602864,4.73989266547406
Forest,DS,MERg,-1.426,-0.8050000000000002,-1.403,-1.058,0.08697296275288335,-1.4489999999999998,-1.265,6.6099451692191344,2.435242957080734
Forest,WS,MERg,16.906584992343035,9.436233484098436,16.513408597172266,12.581644645464584,20.903878343245843,4.783646141244346,4.718116742049218,4.914704939634603,3.8007051533174265
Wet Savannah,DS,MERg,-1.426,-0.8050000000000002,-1.403,-1.058,0.08697296275288335,-1.4489999999999998,-1.265,6.6099451692191344,2.435242957080734
Wet Savannah,WS,MERg,16.906584992343035,9.436233484098436,16.513408597172266,12.581644645464584,20.903878343245843,4.783646141244346,4.718116742049218,4.914704939634603,3.8007051533174265
Periurban,DS,MERm,43.69698426730719,33.59523256449807,31.938599053524932,26.295749928094068,18.20727337479837,5.085024531919522,4.5088533104722055,5.486718086472561,4.466042385299712
Periurban,WS,MERm,45.66697245188196,35.100670335365216,33.33029485400499,27.415918649242418,17.277564839009425,5.862176376943795,5.222143345210711,5.20655265294193,4.237995184527985
Periurban,DS,MERg,-1.426,-0.8050000000000002,-1.403,-1.058,0.08697296275288335,-1.4489999999999998,-1.265,6.6099451692191344,2.435242957080734
Periurban,WS,MERg,16.906584992343035,9.436233484098436,16.513408597172266,12.581644645464584,20.903878343245843,4.783646141244346,4.718116742049218,4.914704939634603,3.8007051533174265
