Region,Season,MERx,Bull,Cow,Steer,Heifer,Calf,Sheep,Goat,Lamb,Kid
Dry Savannah,DS,MERm,39.533945515738246,31.923633900651062,29.684206041536132,23.700042037811826,19.55556841655412,5.31971797185427,4.562289038280365,4.486498993262885,3.7157734096921167
Dry Savannah,WS,MERm,39.02069818477857,31.500773739053336,31.370904434086647,24.08342290208862,17.58218348674781,5.685613546708961,4.649413372627106,4.033758918809133,3.3408085355924095
Forest,DS,MERm,44.206799484845796,35.428427141745544,35.759257137433536,30.339632679334187,25.672648160082392,5.329363576526362,4.910286832113819,5.612990050357047,5.119884200891487
Forest,WS,MERm,51.068436320126864,36.726837585231245,38.27975880081238,30.316056491350476,24.27818406849864,6.172485513165403,5.426063421121273,5.30810864416811,4.52245509520871
Wet Savannah,DS,MERm,44.206799484845796,35.428427141745544,35.759257137433536,30.339632679334187,25.672648160082392,5.329363576526362,4.910286832113819,5.612990050357047,5.119884200891487
Wet Savannah,WS,MERm,51.068436320126864,36.726837585231245,38.27975880081238,30.316056491350476,24.27818406849864,6.172485513165403,5.426063421121273,5.30810864416811,4.52245509520871
Dry Savannah,DS,MERt,3.3462,3.0316,2.2594,0.9165,1.2441,1.217268,0.991848,0.811512,0.631176
Dry Savannah,WS,MERt,3.7895,1.5599999999999998,2.8028,2.3737999999999997,0.5655,1.1713,0.8956999999999999,0.6201,0.48229999999999995
Forest,DS,MERt,4.1613,3.7323,3.1031,1.365,1.9162,0.7766200000000001,0.69628,0.69628,0.6159399999999999
Forest,WS,MERt,5.434,1.9175,3.6608,3.2318,0.871,1.1609,0.9775999999999999,0.7943,0.64155
Wet Savannah,DS,MERt,4.1613,3.7323,3.1031,1.365,1.9162,0.7766200000000001,0.69628,0.69628,0.6159399999999999
Wet Savannah,WS,MERt,5.434,1.9175,3.6608,3.2318,0.871,1.1609,0.9775999999999999,0.7943,0.64155
Periurban,DS,MERt,0.37829999999999997,0.13572,0.28209999999999996,0.27299999999999996,0.06967999999999999,0.0377,0.0338,0.013519999999999999,0.01196
Periurban,WS,MERt,0.494,0.15339999999999998,0.3328,0.2938,0.06967999999999999,0.0494,0.0416,0.013519999999999999,0.01092
Dry Savannah,DS,MERl,NA,23.450357142857136,NA,NA,NA,0.8180357142857141,2.4541071428571426,NA,NA
Dry Savannah,WS,MERl,NA,14.906015891032915,NA,NA,NA,4.679795686719637,12.652780930760498,NA,NA
Forest,DS,MERl,NA,26.808286516853933,NA,NA,NA,1.7157303370786516,5.361657303370786,NA,NA
Forest,WS,MERl,NA,21.56779661016949,NA,NA,NA,1.3803389830508475,4.313559322033898,NA,NA
Wet Savannah,DS,MERl,NA,24.449157303370782,NA,NA,NA,1.7157303370786516,5.361657303370786,NA,NA
Wet Savannah,WS,MERl,NA,19.669830508474575,NA,NA,NA,2.933220338983051,8.627118644067796,NA,NA
Periurban,DS,MERl,NA,24.449157303370782,NA,NA,NA,1.7157303370786516,5.361657303370786,NA,NA
Periurban,WS,MERl,NA,19.669830508474575,NA,NA,NA,2.933220338983051,8.627118644067796,NA,NA
Dry Savannah,DS,MERg,-0.34500000000000003,-0.43699999999999994,-0.6439999999999999,-0.45999999999999996,0.11886304909560724,-0.667,-0.529,3.2093023255813957,2.2583979328165373
Dry Savannah,WS,MERg,15.45743264009835,19.3532083461394,29.59532834750538,20.672745278830725,6.472014479390773,12.064337670320667,10.179284909333061,6.283509203292014,4.524126626370249
Forest,DS,MERg,-1.426,-0.8050000000000002,-1.403,-1.058,0.08357558139534883,-1.4489999999999998,-1.265,6.351744186046512,2.3401162790697674
Forest,WS,MERg,16.116788321167885,8.995416737396027,15.74197929044305,11.993888983194706,19.927346800203704,4.560176540485487,4.497708368698014,4.685112884060432,3.623153963673401
Wet Savannah,DS,MERg,-1.426,-0.8050000000000002,-1.403,-1.058,0.08357558139534883,-1.4489999999999998,-1.265,6.351744186046512,2.3401162790697674
Wet Savannah,WS,MERg,16.116788321167885,8.995416737396027,15.74197929044305,11.993888983194706,19.927346800203704,4.560176540485487,4.497708368698014,4.685112884060432,3.623153963673401
Periurban,DS,MERm,44.206799484845796,35.428427141745544,35.759257137433536,30.339632679334187,25.672648160082392,5.329363576526362,4.910286832113819,5.612990050357047,5.119884200891487
Periurban,WS,MERm,51.068436320126864,36.726837585231245,38.27975880081238,30.316056491350476,24.27818406849864,6.172485513165403,5.426063421121273,5.30810864416811,4.52245509520871
Periurban,DS,MERg,-1.426,-0.8050000000000002,-1.403,-1.058,0.08357558139534883,-1.4489999999999998,-1.265,6.351744186046512,2.3401162790697674
Periurban,WS,MERg,16.116788321167885,8.995416737396027,15.74197929044305,11.993888983194706,19.927346800203704,4.560176540485487,4.497708368698014,4.685112884060432,3.623153963673401
