Region,Season,MERx,Bull,Cow,Steer,Heifer,Calf,Sheep,Goat,Lamb,Kid
Dry Savannah,DS,MERm,38.78887885834691,30.748381844845074,21.354802990098293,19.80923035438516,3.9137578481506914,4.782165581330322,3.979084035079313,3.767143548996616,2.9269556556682517
Dry Savannah,WS,MERm,38.652255421782996,30.802875321753433,3.6879801526874543,19.729336713860008,3.5386893877029166,2.3151398183078173,4.602907326258188,3.406125625551107,2.646455738666711
Forest,DS,MERm,43.58593035879793,31.995054827166687,28.150066346873377,22.161115033990228,6.307129218033372,4.878081133806232,4.12635424929462,5.408039494371903,3.801455119933552
Forest,WS,MERm,39.75811688846272,33.391347962536486,29.23328986099512,22.969450581982763,5.947529922450432,5.535557974462286,5.008036013698435,5.0997015603558244,3.9375222531206306
Wet Savannah,DS,MERm,43.58593035879793,31.995054827166687,28.150066346873377,22.161115033990228,6.307129218033372,4.878081133806232,4.12635424929462,5.408039494371903,3.801455119933552
Wet Savannah,WS,MERm,39.75811688846272,33.391347962536486,29.23328986099512,22.969450581982763,5.947529922450432,5.535557974462286,5.008036013698435,5.0997015603558244,3.9375222531206306
Dry Savannah,DS,MERt,3.2032,2.8314,1.43,0.7085,0.143,0.625508,0.4895280000000001,0.38074399999999997,0.27196000000000004
Dry Savannah,WS,MERt,3.6464999999999996,1.4755,0.1573,1.7731999999999999,0.065,0.2587,0.6467499999999999,0.36217999999999995,0.2587
Forest,DS,MERt,3.9610999999999996,3.1603,2.1879,0.871,0.286,0.5654999999999999,0.45239999999999997,0.5428799999999999,0.3393
Forest,WS,MERt,3.7895,1.6444999999999999,2.4882,2.1736,0.13,0.56992,0.49867999999999996,0.42743999999999993,0.30277
Wet Savannah,DS,MERt,3.9610999999999996,3.1603,2.1879,0.871,0.286,0.5654999999999999,0.45239999999999997,0.5428799999999999,0.3393
Wet Savannah,WS,MERt,3.7895,1.6444999999999999,2.4882,2.1736,0.13,0.56992,0.49867999999999996,0.42743999999999993,0.30277
Periurban,DS,MERt,0.3601,0.11492000000000001,0.1989,0.1742,0.0104,0.0325,0.026,0.012480000000000002,0.0078
Periurban,WS,MERt,0.3445,0.13156,0.22619999999999998,0.1976,0.0104,0.0416,0.0364,0.012480000000000002,0.00884
Dry Savannah,DS,MERl,NA,25.205758157389628,NA,NA,NA,0.8792706333973127,2.637811900191938,NA,NA
Dry Savannah,WS,MERl,NA,16.014878048780485,NA,NA,NA,5.027926829268292,13.5940243902439,NA,NA
Forest,DS,MERl,NA,27.030745341614903,NA,NA,NA,1.8968944099378882,5.927795031055901,NA,NA
Forest,WS,MERl,NA,21.17737226277372,NA,NA,NA,3.158029197080292,9.288321167883211,NA,NA
Wet Savannah,DS,MERl,NA,27.030745341614903,NA,NA,NA,1.8968944099378882,5.927795031055901,NA,NA
Wet Savannah,WS,MERl,NA,21.17737226277372,NA,NA,NA,3.158029197080292,9.288321167883211,NA,NA
Periurban,DS,MERl,NA,27.030745341614903,NA,NA,NA,1.8968944099378882,5.927795031055901,NA,NA
Periurban,WS,MERl,NA,21.17737226277372,NA,NA,NA,3.158029197080292,9.288321167883211,NA,NA
Dry Savannah,DS,MERg,-0.34500000000000003,-0.43699999999999994,-0.6439999999999999,-0.45999999999999996,0.13330435412591465,-0.667,-0.529,3.5992175613996964,2.5327827283923785
Dry Savannah,WS,MERg,16.978244561140283,21.257314328582147,32.50712678169542,22.706676669167294,7.1087771942985745,13.251312828207054,11.180795198799702,6.901725431357841,4.969242310577643
Forest,DS,MERg,-1.426,-0.8050000000000002,-1.403,-1.058,0.09637544521265451,-1.4489999999999998,-1.265,7.324533836161742,2.6985124659543263
Forest,WS,MERg,17.749196141479104,9.906528078965078,17.33642413818889,13.208704105286774,21.94571150826292,5.022059373364241,4.953264039482539,5.159650041127646,3.990129365138713
Wet Savannah,DS,MERg,-1.426,-0.8050000000000002,-1.403,-1.058,0.09637544521265451,-1.4489999999999998,-1.265,7.324533836161742,2.6985124659543263
Wet Savannah,WS,MERg,17.749196141479104,9.906528078965078,17.33642413818889,13.208704105286774,21.94571150826292,5.022059373364241,4.953264039482539,5.159650041127646,3.990129365138713
Periurban,DS,MERm,43.58593035879793,31.995054827166687,28.150066346873377,22.161115033990228,6.307129218033372,4.878081133806232,4.12635424929462,5.408039494371903,3.801455119933552
Periurban,WS,MERm,39.75811688846272,33.391347962536486,29.23328986099512,22.969450581982763,5.947529922450432,5.535557974462286,5.008036013698435,5.0997015603558244,3.9375222531206306
Periurban,DS,MERg,-1.426,-0.8050000000000002,-1.403,-1.058,0.09637544521265451,-1.4489999999999998,-1.265,7.324533836161742,2.6985124659543263
Periurban,WS,MERg,17.749196141479104,9.906528078965078,17.33642413818889,13.208704105286774,21.94571150826292,5.022059373364241,4.953264039482539,5.159650041127646,3.990129365138713
