"STATE","SHP"
"Abia",305919
"Adamawa",1939490
"Akwa Ibom",1152277
"Anambra",193042
"Bauchi",685512
"Bayelsa",74866
"Benue",1075566
"Borno",3400178
"Cross River",221578
"Delta",311218
"Ebonyi",256448
"Edo",748201
"Ekiti",95106
"Enugu",229839
"Federal Capital Territory",247735
"Gombe",966505
"Imo",111601
"Jigawa",7002222
"Kaduna",2284246
"Kano",5030524
"Katsina",6900032
"Kebbi",2806018
"Kogi",1511738
"Kwara",544260
"Lagos",38326
"Nasarawa",1352021
"Niger",1073755
"Ogun",283661
"Ondo",201051
"Osun",809499
"Oyo",891558
"Plateau",2941288
"Rivers",51228
"Sokoto",2543383
"Taraba",1579206
"Yobe",1961240
"Zamfara",8444622
