"STATE","CTL","GTS","SHP"
"Abia",22374,973460,305919
"Adamawa",2459198,2423424,1939490
"Akwa Ibom",22684,3037452,1152277
"Anambra",60055,780089,193042
"Bauchi",4823899,1191227,685512
"Bayelsa",5985,339152,74866
"Benue",599661,6288189,1075566
"Borno",6081464,3891817,3400178
"Cross River",42721,624846,221578
"Delta",83311,2938490,311218
"Ebonyi",93187,1472726,256448
"Edo",103252,2020135,748201
"Ekiti",15672,1494553,95106
"Enugu",96743,2235245,229839
"Federal Capital Territory",603992,1362378,247735
"Gombe",1830419,1957350,966505
"Imo",27493,2257048,111601
"Jigawa",2489024,8737846,7002222
"Kaduna",3941076,3075094,2284246
"Kano",1570261,5950137,5030524
"Katsina",2582373,8767618,6900032
"Kebbi",3311464,4349450,2806018
"Kogi",857127,3893433,1511738
"Kwara",1297052,2955369,544260
"Lagos",12660,36764,38326
"Nasarawa",1324997,2708539,1352021
"Niger",4500824,2465934,1073755
"Ogun",120045,1699554,283661
"Ondo",24168,3378046,201051
"Osun",97082,5774030,809499
"Oyo",771525,4760432,891558
"Plateau",2837830,5964537,2941288
"Rivers",6588,2414205,51228
"Sokoto",3616922,2436676,2543383
"Taraba",3284351,1906940,1579206
"Yobe",4818222,3232404,1961240
"Zamfara",3268942,7194728,8444622
