"NAME_1","feedDM_2020","feedDM_2021","feedDM_2022","feedDM_2023"
"Abia",29215138,30244368,37361636,36097364
"Adamawa",1272476288,1233334528,1272600832,1310449792
"Akwa Ibom",125037624,154708240,180278320,182454400
"Anambra",148136512,164056208,165697872,166911328
"Bauchi",3737373440,3711802368,3690859264,3830450688
"Bayelsa",318013760,410237248,370568128,432903872
"Benue",394900256,441468736,478965152,453091904
"Borno",2787830016,2415826176,2802994688,2161300736
"Cross River",1190831616,1303557120,1424652800,1441420928
"Delta",430596352,465700736,507311552,516933344
"Ebonyi",79468064,87911792,110808080,98151456
"Edo",3046399232,3252745984,3350727936,3292207360
"Ekiti",140821104,141760368,143498320,144102080
"Enugu",351794336,312509600,355391328,350926400
"Federal Capital Territory",138528976,131450856,139660880,142675584
"Gombe",592053952,574948032,584796480,581478016
"Imo",35478920,36320480,41280352,40829840
"Jigawa",676971712,694954880,691058880,644048896
"Kaduna",2886823680,2932112896,2877352192,3040017152
"Kano",875966912,902827648,932731968,903632832
"Katsina",1385565568,1410250112,1519857280,1451067392
"Kebbi",1178945536,1123584256,1220400000,1141629952
"Kogi",2015193856,1946450816,2052174848,2053598720
"Kwara",4373736448,3976147712,4295565312,4099500288
"Lagos",13643660,13801628,14633911,14891577
"Nasarawa",721287808,718556992,760195072,779656704
"Niger",3936297216,3738594304,3996460800,4082750464
"Ogun",1466521216,1540771584,1621142272,1569407744
"Ondo",2172785920,2286032384,2349344768,2340111872
"Osun",545117120,574320384,598312768,596758080
"Oyo",3024977152,2888266752,3108872448,2924343552
"Plateau",1280748032,1278801664,1284257152,1402234752
"Rivers",285008448,277163296,315424000,321292064
"Sokoto",2470660864,2342968064,2849732096,2492412160
"Taraba",3382178048,3176860928,3269074176,3393970688
"Yobe",1438539776,1334013440,1369709440,1191832704
"Zamfara",4170869248,4025570560,4347775488,4266680576
