"NAME_1","lvstReqME_2020","lvstReqME_2021","lvstReqME_2022","lvstReqME_2023","feedME_mean_2020","feedME_mean_2021","feedME_mean_2022","feedME_mean_2023","adeq_2020","adeq_2021","adeq_2022","adeq_2023","adeqMin_2020","adeqMin_2021","adeqMin_2022","adeqMin_2023","adeqMax_2020","adeqMax_2021","adeqMax_2022","adeqMax_2023"
"Abia",3529511424,3527713280,3519638016,3519639808,14098163712,13703454720,14753235968,15878155264,3.99436693025986,3.88451487758098,4.19169127647018,4.51130119278387,2.54421674915043,2.50106402143422,2.69174937966959,2.89084572692992,6.45312091442371,6.20731857804683,6.71306367543658,7.23614705891129
"Adamawa",24795152384,24788711424,24736450560,24736458752,75819892736,74233995264,77890650112,77497909248,3.05785145264627,2.9946693877814,3.14882080285006,3.13294275566967,2.57161957164928,2.51553348796414,2.64312216330639,2.62838217270013,3.86121593666296,3.78304272742364,3.98233772219829,3.96852236313106
"Akwa Ibom",10556674048,10551090176,10526579712,10526584832,18781847552,19063144448,21786834944,23473897472,1.7791444034931,1.80674642430428,2.06969742690151,2.22996326411973,1.04161313590164,1.0593704429639,1.21902614027552,1.3262200448214,2.94976642973576,2.9886599877072,3.40665576977811,3.63196597886934
"Anambra",2996965632,2995584256,2988857856,2988859136,7899827712,7611616768,7606149632,8368181760,2.63594204339544,2.54094564449467,2.5448348494496,2.79979128464353,2.00015920413931,1.9281188315026,1.92013558319159,2.1150938828278,3.67634256341946,3.54288662323585,3.57919009876835,3.92752804586975
"Bauchi",29313261568,29311459328,29254572032,29254576128,119878426624,107783675904,113580433408,113441071104,4.08956288763397,3.67718559140584,3.88248487394587,3.87772055242406,3.45368513644876,3.10324355374374,3.27826062563841,3.27297380623848,4.94516737418358,4.44917150875507,4.6964195276991,4.69156342197733
"Bayelsa",1172959616,1172403968,1169919104,1169919616,23921903616,28712990720,28962101248,30639773696,20.3944818642418,24.490697322512,24.7556443423972,26.1896401060088,10.0631341547437,11.7599155458807,11.5635889139214,12.6848631337141,38.7899954981288,47.5844179168042,49.0784041132318,50.5475187057828
"Benue",22574565376,22564489216,22513633280,22513643520,74611638272,72892063744,74212638720,80520953856,3.30511959053364,3.23038837911358,3.29634216730033,3.57654032251462,2.77625572624457,2.72281957826558,2.77721318437808,3.01102308091264,3.96209372717521,3.85437641014729,3.93474785868228,4.27126828008778
"Borno",46342283264,46333222912,46237741056,46237749248,90543046656,76273623040,87536304128,79825641472,1.95378907293367,1.64619722622934,1.8931786486278,1.7264171109162,1.70829637780214,1.43855326070883,1.65380094216471,1.50951104853029,2.31406221024417,1.9504090918214,2.24379279918537,2.04496520484754
"Cross River",2596399616,2595222528,2589621760,2589622784,45454241792,46302298112,49104261120,51325693952,17.5066432423937,17.8413595028719,18.9619433534571,19.8197568654076,10.1875463568497,10.2327506559465,10.773412696417,11.3760862756486,31.7995834153469,32.7860966612474,35.0751707893632,36.3903508816685
"Delta",8983974912,8979529728,8959204352,8959208448,46282772480,50165374976,50876047360,52532977664,5.1517032197162,5.58663721771243,5.67863454846219,5.86357354769741,3.13043427915009,3.34387329137245,3.38084624854183,3.49484246679543,8.22863149619891,9.06894725078383,9.26729423811223,9.55492303165567
"Ebonyi",5349176832,5346650624,5334526976,5334529536,12392116224,12179230720,13033502720,13994234880,2.31663985192404,2.27791781743321,2.44323494447355,2.62333065841329,1.99861576197059,1.96719315835275,2.10956663779413,2.26296283310904,2.73037799694736,2.67974147244391,2.87541151197856,3.09225312055281
"Edo",8207854080,8203870720,8185315840,8185319936,57629106176,60179890176,61185204224,60901167104,7.02121475531885,7.33554833199517,7.47499612965454,7.44029159277568,4.82494952323804,5.02669890352482,5.11683436795863,5.10245324429386,10.495127198895,11.0018455324964,11.2304660850667,11.1662601829027
"Ekiti",4215087616,4212895744,4203195648,4203197952,20371519488,20585175040,20873809920,20805111808,4.83300024670234,4.88622939917689,4.96617613551545,4.94982916474356,3.03612902934221,3.12704638423837,3.1483849855661,3.13561043374213,8.28056888934745,8.23181011951661,8.43924099812808,8.4181796819801
"Enugu",7013655552,7010233344,6994220032,6994223616,18065520640,16219792384,17917417472,19222923264,2.57576388034175,2.31373074020173,2.5617463262557,2.74839986814628,1.97904539609638,1.78174111257544,1.97683395790499,2.11894411800895,3.59585470162569,3.22056787728276,3.55616246307206,3.81988987931883
"Federal Capital Territory",7647459840,7645368320,7629135360,7629137920,17388294144,16959266816,16406886400,17560641536,2.27373461355764,2.21824065318543,2.15055646882637,2.30178582693652,1.8657475142197,1.8184041781399,1.76362586286483,1.88918951260146,2.89619876078871,2.82970994225648,2.74279765779768,2.92988336216573
